,categorie,motAnglais,traductionGoogle,traductionMaison,deuxiemeTraduction,troisiemeTraduction,quatriemeTraduction,francaisAsterisque,francaisAsterisque2,anglaisAsterisque,initiales,notes
260,healthcare,stem cell,cellule souche,NA,NA,NA,NA,cellule* souche*,NA,stem cell*,AFC,
261,healthcare,ambulance,ambulance,NA,NA,NA,NA,ambulance*,NA,ambulance*,AFC,ajout des pluriels anglo francos
262,healthcare,sex ed,sexe ed,éducation sexuelle,NA,NA,NA,NA,NA,sex ed*,AFC,
263,healthcare,sexualy transmitted,sexuellement transmissible,x,NA,NA,NA,NA,NA,NA,AFC,
264,healthcare,sexualy-transmitted,transmis sexuellement,NA,NA,NA,NA,transmis* sexuellement,NA,NA,AFC,
265,healthcare,std,std,mts,NA,NA,NA,NA,NA,NA,AFC,
266,healthcare,NA,sti,x,NA,NA,NA,NA,NA,NA,AFC,
267,healthcare,stds,stds,x,NA,NA,NA,NA,NA,NA,AFC,
268,healthcare,NA,stis,x,NA,NA,NA,NA,NA,NA,AFC,
269,healthcare,pain killer,anti douleur,anti-douleur,NA,NA,NA,anti-douleur*,NA,pain killer*,AFC,
270,healthcare,nhs,nhs,NA,NA,NA,NA,NA,NA,NA,AFC,
271,healthcare,flu,grippe,NA,NA,NA,NA,grippes*,NA,flu*,AFC,ajout des pluriels anglo francos
272,healthcare,influenza,grippe,x,NA,NA,NA,grippes*,NA,flu*,AFC,ajout des pluriels anglo francos
273,healthcare,common cold,Rhume,rhume,NA,NA,NA,rhume*,NA,common cold*,AFC,
274,healthcare,mental ill,malade mental,malad mental,NA,NA,NA,maladie* mentale*,NA,mental ill*,AFC,
275,healthcare,mentally ill,malade mental,NA,NA,NA,NA,malade* menta*,NA,NA,AFC,
276,healthcare,osteoporosis,l'ostéoporose,ostéoporose,NA,NA,NA,ostéoporose*,NA,NA,AFC,ajout pluriel francais
277,healthcare,nutrition,nutrition,NA,NA,NA,NA,nutrition*,NA,NA,AFC,
278,healthcare,sars,sars,sras,NA,NA,NA,NA,NA,NA,AFC,
279,healthcare,drinking age,âge de boire,âge légal pour boire,NA,NA,NA,NA,NA,NA,AFC,
280,healthcare,vitamin supplement,supplément de vitamines,NA,supplément vitaminique,NA,NA,supplément* vitaminique*, supplément* de vitamines,vitamin supplement*,AFC,
281,healthcare,diet supplement,complément alimentaire,NA,NA,NA,NA,complément* alimentaire*,NA,NA,AFC,
282,healthcare,blood supply,approvisionnement en sang,NA,NA,NA,NA,approvisionnement* en sang,NA,blood suppl*,AFC,
283,healthcare,blood donation,don de sang,NA,NA,NA,NA,don* de sang,NA,blood donation*,AFC,
284,healthcare,blood services,services de sang,société canadienne du sang,NA,NA,NA,NA,NA,NA,AFC,
285,healthcare,hema-quebec,hema-quebec,héma-québec,NA,NA,NA,NA,NA,NA,AFC,
286,healthcare,alzheimer's,alzheimer,NA,NA,NA,NA,NA,NA,NA,AFC,
287,healthcare,alzheimers,alzheimers,x,NA,NA,NA,NA,NA,NA,AFC,invariable en francais (marche pas)
288,healthcare,high blood pressure,hypertension artérielle,NA,NA,NA,NA,hypertension* artérielle*,NA,NA,AFC,ajout pluriel francais
289,healthcare,hypertension,hypertension,NA,NA,NA,NA,hypertension*,NA,NA,AFC,
290,healthcare,heart attack,attaque cardiaque,crise cardiaque,NA,NA,NA,crise* cardiaque*,NA,heart attack*,AFC,
291,healthcare,cardiac,cardiaque,NA,NA,NA,NA,cardiaque*,NA,NA,AFC,ajout pluriel francais
292,healthcare,cholesterol,cholestérol,NA,NA,NA,NA,cholestérol*,NA,NA,AFC,ajout pluriel francais
293,healthcare,patients' bill of right,déclaration de droit des patients,déclaration des droits des patients,NA,NA,NA,NA,NA,NA,AFC,
294,healthcare,obamacare,Obamacare,obamacare,NA,NA,NA,NA,NA,NA,AFC,
295,healthcare,affordable care act,loi sur les soins abordables,NA,NA,NA,NA,NA,NA,NA,AFC,
296,agriculture,agricult,agricole,agric,NA,NA,NA,agric*,NA,agricult*,AFC,
297,agriculture,cattle,bétail,NA,NA,NA,NA,bétail*,NA,NA,AFC,ajout pluriel francais
298,agriculture,cultivat,cultiver,cultiv,NA,NA,NA,cultiv*,NA,cultivat*,AFC,
299,agriculture,grain,grain,NA,NA,NA,NA,grain*,NA,grain*,AFC,
300,agriculture,wheat,blé,NA,NA,NA,NA,blé*,NA,wheat*,AFC,
301,agriculture,barley,orge,NA,NA,NA,NA,barley*,NA,orge*,AFC,ajout des pluriels anglo francos
302,agriculture,beef,du boeuf,boeuf,bœuf,NA,NA,boeuf*,bœuf*,beef*,AFC,
303,agriculture,pork,porc,NA,NA,NA,NA,porc*,NA,pork*,AFC,
304,agriculture,poultry,la volaille,volaille,NA,NA,NA,volaille*,NA,poultr*,AFC,ajout des pluriels anglo francos
305,agriculture,tractor,tracteur,NA,NA,NA,NA,tracteur*,NA,tractor*,AFC,
306,agriculture,thresh,battre,NA,NA,NA,NA,NA,NA,thresh*,AFC,ajout conjug anglais
307,agriculture,orchard,verger,NA,NA,NA,NA,verger*,NA,orchard*,AFC,
308,agriculture,food inspect,nourriture inspecter,inspect des aliments,NA,NA,NA,inspect* des aliments,NA,food inspect*,AFC,
309,agriculture,farm,ferme,NA,NA,NA,NA,ferm*,NA,farm*,AFC,
310,agriculture,food import,importation de nourriture,NA,NA,NA,NA,NA,NA,NA,AFC,
311,agriculture,aquacult,aquacole,aquac,NA,NA,NA,aquac*,NA,aquacult*,AFC,
312,agriculture,foot and mouth,pied et bouche,fièvre aphteuse,NA,NA,NA,NA,NA,NA,AFC,
313,agriculture,livestock,bétail,animaux d'élevage,NA,NA,NA,animaux d'élevage*,NA,livestock*,AFC,corrections et ajout
314,agriculture,crop,surgir,cultures,NA,NA,NA,culture*,NA,crop*,AFC,ajout des pluriels anglo francos
315,agriculture,agri-food,agroalimentaire,NA,NA,NA,NA,agroalimentaire*,NA,NA,AFC,ajout pluriel francais
316,agriculture,pesticide,pesticide,NA,NA,NA,NA,pesticide*,NA,pesticide*,AFC,
317,agriculture,manure,fumier,NA,NA,NA,NA,fumier*,NA,NA,AFC,ajout pluriel francais
318,agriculture,genetically modified,génétiquement modifié,NA,NA,NA,NA,génétiquement modifié*,NA,NA,AFC,ajout pluriel francais
319,agriculture,gmo,OGM,ogm,NA,NA,NA,NA,NA,NA,AFC,
320,agriculture,gmos,gmos,ogms,NA,NA,NA,NA,NA,NA,AFC,
321,agriculture,feed,alimentation,nourrir,NA,NA,NA,NA,NA,NA,AFC,
322,agriculture,e coli,e-coli,NA,e coli,NA,NA,NA,NA,NA,AFC,
323,agriculture,mad cow,la vache folle,vache folle,NA,NA,NA,NA,NA,NA,AFC,
324,agriculture,bovine spongiform encephalopathy,encéphalopathie spongiforme bovine,NA,NA,NA,NA,NA,NA,NA,AFC,
325,forestry,agroforest,agroforest,NA,NA,NA,NA,agroforest*,NA,agroforest*,AFC,
326,forestry,deforest,déboiser,NA,NA,NA,NA,débois*,déforest*,deforest*,AFC,
327,forestry,reforest,reboiser,NA,NA,NA,NA,rebois*,reforest*,reforest*,AFC,
328,forestry,forest,forêt,NA,NA,NA,NA,forêt*,NA,forest*,AFC,
329,forestry,logging,enregistrement,abattage,NA,NA,NA,abattage*,NA,NA,AFC,ajout pluriel francais
330,forestry,lumber,bois de charpente,NA,NA,NA,NA,NA,NA,lumber*,AFC,
331,forestry,seedling,semis,NA,NA,NA,NA,NA,NA,NA,AFC,
332,forestry,timber,Charpente,bois de construction,NA,NA,NA,NA,NA,timber*,AFC,
333,forestry,tree,arbre,NA,NA,NA,NA,arbre*,NA,tree*,AFC,
334,forestry,softwood,bois tendre,conifère,NA,NA,NA,conifère*,NA,softwood*,AFC,
335,forestry,wood,bois,x,NA,NA,NA,NA,NA,NA,AFC,
336,labour,cpp,cpp,rpc,NA,NA,NA,NA,NA,NA,AFC,
337,labour,qpp,qpp,rrq,NA,NA,NA,NA,NA,NA,AFC,
338,labour,qpip,qpip,rqap,NA,NA,NA,NA,NA,NA,AFC,
339,labour,pension,Pension,pension,NA,NA,NA,pension*,NA,pension*,AFC,
340,labour,employ,employer,NA,NA,NA,NA,emplo*,NA,employ*,AFC,
341,labour,hire,louer,embauche,NA,NA,NA,NA,NA,NA,AFC,
342,labour,hiring,embauche,embaucher,NA,NA,NA,NA,NA,NA,AFC,
343,labour,income,le revenu,revenu,NA,NA,NA,revenu*,NA,income*,AFC,
344,labour,internship,stage,NA,NA,NA,NA,stage*,NA,internship*,AFC,
345,labour,labor,la main d'oeuvre,travail,main d'œuvre,main d'oeuvre,NA,trava*,main*d'*uvre,NA,AFC,selon moi la trad google est bonne
346,labour,labour,la main d'oeuvre,main-d'œuvre,main-d'oeuvre,NA,NA,NA,NA,NA,AFC,same
347,labour,laid off,mis à pied,NA,NA,NA,NA,NA,NA,NA,AFC,
348,labour,living wage,salaire décent,NA,salaire de subsistance,NA,NA,salaire* décent*,NA,living wage*,AFC,ajout des pluriels anglo francos
349,labour,lockout,lock-out,NA,NA,NA,NA,NA,NA,NA,AFC,
350,labour,lock-out,lock-out,x,NA,NA,NA,NA,NA,NA,AFC,
351,labour,maternity leave,congé maternité,congé de maternité,NA,NA,NA,congé* de maternité,NA,maternity leave*,AFC,
352,labour,minimum wage,salaire minimum,NA,NA,NA,NA,salaire* minimum*,NA,minimum wage*,AFC,ajout des pluriels anglo francos
353,labour,parental leave,congé parental,NA,NA,NA,NA,congé parenta*,NA,parental leave*,AFC,
354,labour,paternity leave,congé paternité,congé de paternité,NA,NA,NA,congé* de paternité,NA,paternity leave*,AFC,
355,labour,paycheck,chèque de paie,NA,NA,NA,NA,chèque* de paie*,NA,paycheck*,AFC,ajout des pluriels anglo francos
356,labour,paycheque,fiche de salaire,x,NA,NA,NA,fiche* de salaire*,NA,paycheque*,AFC,
357,labour,recruitment,recrutement,NA,NA,NA,NA,recrutement*,NA,recruitment*,AFC,ajout des pluriels anglo francos
358,labour,salar,salar,NA,NA,NA,NA,salar*,salaire*,salar*,AFC,
359,labour,self-employ,Travail indépendant,travail indép,NA,NA,NA,travail* indép*,NA,self-employ*,AFC,
360,labour,severence pay,indemnité de départ,NA,NA,NA,NA,indemnité* de départ,NA,severence pay*,AFC,
361,labour,strike,frapper,grèv,grévist,NA,NA,grève*, gréviste*,NA,AFC,
362,labour,trade union,syndicat,NA,NA,NA,NA,syndicat*,NA,trade union*,AFC,
363,labour,unemployment,chômage,NA,chomage,NA,NA,ch*mage,NA,unemployment*,AFC,Moi je mettrais l'accent
364,labour,unionis,unionis,syndica,NA,NA,NA,syndica*,NA,unionis*,AFC,
365,labour,unioniz,unioniz,x,NA,NA,NA,NA,NA,unioniz*,AFC,
366,labour,wage,salaire,NA,NA,NA,NA,NA,NA,NA,AFC,ajout des pluriels anglo francos
367,labour,wages,les salaires,salaires,NA,NA,NA,NA,NA,NA,AFC,
368,labour,worker,ouvrier,NA,NA,NA,NA,ouvrier*,NA,worker*,AFC,
369,labour,workforce,la main d'oeuvre,main d'œuvre,main d'oeuvre,main-d'œuvre,main-d'oeuvre,main*d'*uvre,NA,workforce*,AFC,ajout conjug anglais
370,labour,working condition,condition de travail,NA,NA,NA,NA,condition* de travail,NA,working condition*,AFC,
371,labour,workplace,lieu de travail,NA,NA,NA,NA,lieu* de travail,NA,workplace*,AFC,
372,labour,public service alliance of canada,alliance de la fonction publique du canada,NA,NA,NA,NA,NA,NA,NA,AFC,
373,labour,psac,psac,afpc,NA,NA,NA,NA,NA,NA,AFC,
374,labour,clc,clc,ctc,NA,NA,NA,NA,NA,NA,AFC,
375,labour,union of public employees,syndicat des employés du secteur public,syndicat canadien de la fonction publique,NA,NA,NA,NA,NA,NA,AFC,
376,labour,cupe,coupe,scfp,NA,NA,NA,NA,NA,NA,AFC,
377,labour,collective agreement,convention collective,NA,NA,NA,NA,convention* collective*,NA,collective agreement*,AFC,
378,labour,collective bargaining,la négociation collective,négociation collective,NA,NA,NA,négociation* collective*,NA,collective bargaining*,AFC,ajout pluriel anglais
379,labour,bargain collectively,négocier collectivement,NA,NA,NA,NA,NA,NA,NA,AFC,
380,labour,centre for health and safety,centre de santé et de sécurité,centre d'hygiène et de sécurité,NA,NA,NA,NA,NA,NA,AFC,
381,labour,canadian auto worker,travailleur automobile canadien,travailleur canadien de l'automobile,NA,NA,NA,travailleur* canadien* de l'automobile,NA,canadian auto worker*,AFC,
382,labour,caw,croasser,tca,NA,NA,NA,NA,NA,NA,AFC,
383,labour,human resources,ressources humaines,NA,NA,NA,NA,NA,NA,NA,AFC,
384,labour,retiree health benefit,prestations de santé pour retraités,prestation de santé des retraités,NA,NA,NA,prestation* de santé des retraités,NA,retiree health benefit*,AFC,
385,labour,retirement annuit,pension de retraite,pension de retrai,NA,NA,NA,pension* de retraite,NA,retirement annuit*,AFC,
386,labour,disability insurance,l'assurance invalidité,assurance invalidité,assurance-invalidité,NA,NA,assurance* invalidité*,NA,disabilit*insurance*,AFC,ajout des pluriels anglo francos
387,labour,child care,garde d'enfants,NA,NA,NA,NA,NA,NA,NA,AFC,
388,labour,daycare,garderie,NA,NA,NA,NA,garderie*,NA,daycare*,AFC,ajout pluriel anglais
389,labour,day care,garderie,x,NA,NA,NA,NA,NA,day care*,AFC,ajout pluriel anglais
390,labour,actra,actra,NA,NA,NA,NA,NA,NA,NA,AFC,
391,labour,british columbia teachers' federation,fédération d'enseignants de la Colombie-Britannique,fédération d'enseignantes de la colombie-britannique,NA,NA,NA,NA,NA,NA,AFC,
392,labour,canadian association of university teachers,association canadienne des professeurs d'université,association canadienne des professeures et professeurs d'université,NA,NA,NA,NA,NA,NA,AFC,
393,labour,canadian office and professional employees union,syndicat canadien des employés de bureau et professionnels,syndicat canadien des employées et employés professionnels et de bureau,NA,NA,NA,NA,NA,NA,AFC,
394,labour,canadian postmasters and assistants association,association canadienne des maîtres de poste et adjoints,NA,NA,NA,NA,NA,NA,NA,AFC,
395,labour,canadian union of postal worker,syndicat canadien des postiers,syndicat des travailleurs et travailleuses des postes,NA,NA,NA,NA,NA,NA,AFC,
396,labour,paperworkers union of canada,syndicat des travailleurs du papier du canada,syndicat canadien du papier,NA,NA,NA,NA,NA,NA,AFC,
397,labour,union of public and general employees,syndicat des employés publics et généraux,syndicat national des employés et employés généraux du secteur public,NA,NA,NA,NA,NA,NA,AFC,
398,labour,canadian federation of nurses,Fédération canadienne des infirmières,fédération canadienne des syndicats d'infirmières et infirmiers,NA,NA,NA,NA,NA,NA,AFC,
399,labour,telecommunications workers union,syndicat des travailleurs des télécommunications,NA,NA,NA,NA,NA,NA,NA,AFC,
400,immigration,asylum,asile,NA,NA,NA,NA,asile*,NA,asylum*,AFC,ajout des pluriels anglo francos
401,immigration,border,frontière,NA,NA,NA,NA,frontière*,NA,border*,AFC,
402,immigration,citizenship,citoyenneté,NA,NA,NA,NA,citoyenneté*,NA,citizenship*,AFC,ajout des pluriels anglo francos
403,immigration,family class,classe familiale,regroupement familial,NA,NA,NA,regroupement* familia*,NA,family class*,AFC,ajout des pluriels anglo francos
404,immigration,points system,système de points,NA,NA,NA,NA,système* de points,NA,points system*,AFC,ajout des pluriels anglo francos
405,immigration,immigra,immigra,NA,NA,NA,NA,immigra*,NA,immigra*,AFC,
406,immigration,permanent residen,résidence permanente,résiden permanent,NA,NA,NA,résiden* permanent*,NA,permanent residen*,AFC,
407,immigration,refugee,réfugié,NA,NA,NA,NA,réfugié*,NA,refugee*,AFC,
408,immigration,migrant worker,ouvrier immigré,travailleur migrant,NA,NA,NA,travailleur* migrant*,NA,migrant worker*,AFC,
409,immigration,foreign worker,travailleur étranger,NA,NA,NA,NA,travailleur* étranger*,NA,foreign worker*,AFC,
410,immigration,multicultural,multiculturel,NA,NA,NA,NA,multicultur*,NA,multicultural*,AFC,
411,immigration,intercultural,interculturel,NA,NA,NA,NA,intercultur*,NA,intercultural*,AFC,
412,immigration,emigra,Emigra,émigra,NA,NA,NA,émigra*,NA,emigra*,AFC,
413,immigration,foreigner,étranger,NA,NA,NA,NA,étranger*,NA,foreigner*,AFC,
414,immigration,newcomer to canada,nouvel arrivant au canada,NA,NA,NA,NA,NA,NA,NA,AFC,
415,immigration,newcomers to canada,nouveaux arrivants au canada,NA,NA,NA,NA,NA,NA,NA,AFC,
416,immigration,work permit,permis de travail,NA,NA,NA,NA,NA,NA,NA,AFC,
417,immigration,study permit,permis d'études,NA,NA,NA,NA,NA,NA,NA,AFC,
418,immigration,residence permit,permis de résidence,NA,NA,NA,NA,NA,NA,NA,AFC,
419,immigration,work visa,permis de travail,visa de travail,NA,NA,NA,visa* de travail,NA,work visa*,AFC,
420,immigration,study visa,visa d'étude,visa d'études,NA,NA,NA,visa* d'étude,NA,study visa*,AFC,ajout des pluriels anglo francos
421,immigration,residence visa,visa de résidence,NA,NA,NA,NA,visa* de résidence,NA,residence visa*,AFC,ajout des pluriels anglo francos
422,immigration,naturalise,naturaliser,NA,NA,NA,NA,NA,NA,NA,AFC,
423,immigration,naturalize,naturaliser,x,NA,NA,NA,NA,NA,NA,AFC,
424,immigration,naturalisation,naturalisation,NA,NA,NA,NA,naturalisation*,NA,naturalisation*,AFC,
425,immigration,naturalization,naturalisation,x,NA,NA,NA,naturalisation*,NA,naturalization*,AFC,ajout des pluriels anglo francos
426,immigration,deport,expulser,déporter,NA,NA,NA,déport*,NA,deport*,AFC,
427,immigration,undocumented,sans papiers,NA,NA,NA,NA,NA,NA,NA,AFC,
428,immigration,provincial nominee,candidat provincial,NA,NA,NA,NA,candidat* provincia*,NA,provincial nominee*,AFC,
429,immigration,labour market opinion,avis sur le marché du travail,NA,NA,NA,NA,NA,NA,NA,AFC,
430,immigration,nationality,nationalité,NA,NA,NA,NA,nationalité*,NA,nationalit*,AFC,ajout des pluriels anglo francos
431,immigration,jus soli,jus soli,NA,NA,NA,NA,NA,NA,NA,AFC,
432,immigration,jus sanguinis,jus sanguinis,NA,NA,NA,NA,NA,NA,NA,AFC,
433,education,10th grade,10ème année,10e année,NA,NA,NA,NA,NA,NA,AFC,
434,education,11th grade,11e année,NA,NA,NA,NA,NA,NA,NA,AFC,
435,education,12th grade,12e année,NA,NA,NA,NA,NA,NA,NA,AFC,
436,education,1st grade,1ère année,1re année,NA,NA,NA,NA,NA,NA,AFC,
437,education,2nd grade,2e année,NA,NA,NA,NA,NA,NA,NA,AFC,
438,education,3rd grade,3e année,NA,NA,NA,NA,NA,NA,NA,AFC,
439,education,4th grade,4e année,NA,NA,NA,NA,NA,NA,NA,AFC,
440,education,5th grade,5ème année,5e année,NA,NA,NA,NA,NA,NA,AFC,
441,education,6th grade,6ème année,6e année,NA,NA,NA,NA,NA,NA,AFC,
442,education,7th grade,7e année,NA,NA,NA,NA,NA,NA,NA,AFC,
443,education,8th grade,8e année,NA,NA,NA,NA,NA,NA,NA,AFC,
444,education,9th grade,9e année,NA,NA,NA,NA,NA,NA,NA,AFC,
445,education,alumna,alumna,ancienne élève,NA,NA,NA,NA,NA,NA,AFC,
446,education,alumni,anciens élèves,NA,NA,NA,NA,NA,NA,NA,AFC,
447,education,alumnus,ancien élève,NA,NA,NA,NA,NA,NA,NA,AFC,
448,education,cegep,cégep,NA,cegep,NA,NA,c*gep*,NA,cegep*,AFC,je mettrais l'accent
449,education,college,Université,collège,NA,NA,NA,collèg*,NA,college*,AFC,
450,education,teach,enseigner,NA,NA,NA,NA,enseign*,NA,teach*,AFC,
451,education,collegiate,collégial,NA,NA,NA,NA,collégia*,NA,NA,AFC,
452,education,diploma,diplôme,NA,NA,NA,NA,diplôme*,NA,dipoma*,AFC,
453,education,educat,Educat,éducat,NA,NA,NA,éducat*,NA,educat*,AFC,
454,education,grade 1,grade 1,première année,NA,NA,NA,NA,NA,NA,AFC,
455,education,grade 10,10 e année,dixième année,NA,NA,NA,NA,NA,NA,AFC,
456,education,grade 11,11 e année,onzième année,NA,NA,NA,NA,NA,NA,AFC,
457,education,grade 12,12 e année,douzième année,NA,NA,NA,NA,NA,NA,AFC,
458,education,grade 2,grade 2,deuxième année,NA,NA,NA,NA,NA,NA,AFC,
459,education,grade 3,grade 3,troisième année,NA,NA,NA,NA,NA,NA,AFC,
460,education,grade 4,niveau 4,quatrième année,NA,NA,NA,NA,NA,NA,AFC,
461,education,grade 5,niveau 5,cinquième année,NA,NA,NA,NA,NA,NA,AFC,
462,education,grade 6,6ème année,NA,NA,6 e année,NA,NA,NA,NA,NA,
463,education,grade 7,7 e année,septième année,NA,NA,NA,NA,NA,NA,CTA,
464,education,grade 8,8 e année,huitième année,NA,NA,NA,NA,NA,NA,CTA,
465,education,grade 9,9 e année,neuvième année,NA,NA,NA,NA,NA,NA,CTA,
466,education,graduate,diplômé,NA,gradué,NA,NA,dipl*m*,gradué*,graduate*,CTA,dipl*m*?
467,education,kindergarten,Jardin d'enfants,garderie,cpe,centre de la petite enfance,NA,garderie*,centre* de la petite enfance,kindergarten*,CTA,
468,education,learn,apprendre,NA,NA,NA,NA,appren*,NA,learn*,CTA,
469,education,postsecondary,postsecondaire,NA,NA,NA,NA,postsecondaire*,NA,postsecondary*,CTA,
470,education,post-secondary,post-secondaire,NA,NA,NA,NA,post-secondaire*,NA,post-secondary*,CTA,
471,education,school,école,NA,scolaire,NA,NA,école*,scolaire*,school*,CTA,
472,education,student,étudiant,NA,NA,NA,NA,étudiant*,NA,student*,CTA,
473,education,tuition,frais de scolarité,NA,NA,NA,NA,NA,NA,NA,CTA,
474,education,undergraduate,premier cycle,NA,NA,NA,NA,NA,NA,undergraduat*,CTA,
475,education,universit,université,universit,NA,NA,NA,universit*,NA,universit*,CTA,
476,education,vocational,professionnel,NA,métier,NA,NA,professionnel*,métier*,NA,CTA,
477,education,apprenticeship,apprentissage,NA,stage,NA,NA,apprentissage*,stage*,apprenticeship*,CTA,
478,education,curricul,programme,programm,cursu,NA,NA,programm*,cursu*,curricul*,CTA,
479,education,syllabus,programme,syllabus,NA,NA,NA,NA,NA,syllab*,CTA,
480,environment,acid rain,pluie acide,NA,NA,NA,NA,pluie* acide*,NA,acid rain*,CTA,
481,environment,cap and trade,plafonnement et échange,NA,NA,NA,NA,NA,NA,NA,CTA,
482,environment,cap-and-trade,plafonnement et échange,système de plafonnement,NA,NA,NA,NA,NA,NA,CTA,
483,environment,carbon pricing,tarification du carbone,NA,NA,NA,NA,NA,NA,NA,CTA,prix du carbone
484,environment,carbon sink,puits de carbone,NA,NA,NA,NA,NA,NA,NA,CTA,
485,environment,carbon tax,taxe carbone,NA,taxe sur le carbone,NA,NA,taxe* carbone,taxe* sur le carbone,carbon tax*,CTA,
486,environment,climate change,changement climatique,NA,NA,NA,NA,changement* climatique*,NA,climate change*,CTA,
487,environment,climate engineering,génie climatique,NA,NA,NA,NA,NA,NA,NA,CTA,
488,environment,climate intervention,intervention climatique,NA,NA,NA,NA,intervention* climatique*,NA,climate intervention*,CTA,
489,environment,climate remediation,assainissement climatique,NA,NA,NA,NA,NA,NA,climate remediation*,CTA,
490,environment,conservation,préservation,conservation,NA,NA,NA,conservation*,NA,conservation*,CTA,"préservation, protection, sauvegarde"
491,environment,contaminat,contaminat,NA,NA,NA,NA,contaminat*,NA,contaminat*,CTA,
492,environment,deforest,déboiser,NA,déforester,NA,NA,débois*,déforest*,deforest*,CTA,
493,environment,ecolog,écolog,NA,NA,NA,NA,écolog*,NA,ecolog*,CTA,
494,environment,emission,émission,NA,NA,NA,NA,émission*,NA,emission*,CTA,dégagement
495,environment,endangered species,les espèces menacées,espèces en danger,NA,NA,NA,espèce* en danger,NA,endangered spec*,CTA,
496,environment,environment,environnement,NA,NA,NA,NA,environnement*,NA,environment*,CTA,
497,environment,extinct,disparu,NA,extinct,NA,NA,disparu*,extinct*,extinct*,CTA,
498,environment,geoengineering,géoingénierie,NA,NA,NA,NA,NA,NA,NA,CTA,
499,environment,glacier,glacier,NA,NA,NA,NA,glacier*,NA,glacier*,CTA,
500,environment,global warming,le réchauffement climatique,réchauffement climatique,NA,NA,NA,NA,NA,NA,CTA,
501,environment,greenhouse effect,Effet de serre,effet de serre,NA,NA,NA,NA,NA,NA,CTA,
502,environment,greenhouse gas,gaz à effet de serre,NA,NA,NA,NA,NA,NA,NA,CTA,
503,environment,ozone,ozone,NA,NA,NA,NA,NA,NA,NA,CTA,
504,environment,pollut,polluer,pollu,NA,NA,NA,pollu*,NA,pollut*,CTA,
505,environment,sea ice,glace de mer,NA,NA,NA,NA,glace* de mer,NA,NA,CTA,"glace marine, banquise"
506,environment,sea levels,niveaux de la mer,niveau des mers,NA,NA,NA,niveau* des mers,niveau* de la mer,sea level*,CTA,
507,environment,species at risk,espèces en péril,NA,NA,NA,NA,espèce* en péril,NA,spec* at risk,CTA,
508,environment,sustainability,durabilité,NA,NA,NA,NA,NA,NA,NA,CTA,viabilité
509,environment,threatened species,espèces menacées,NA,NA,NA,NA,espèce* menacée*,NA,threatened spec*,CTA,
510,environment,drinking water,boire de l'eau,eau potable,NA,NA,NA,NA,NA,NA,CTA,
511,environment,water supply,approvisionnement en eau,NA,NA,NA,NA,NA,NA,NA,CTA,"distribution d'eau, alimentation en eau"
512,environment,potable water,eau potable,x,NA,NA,NA,NA,NA,NA,CTA,
513,environment,hazardous waste,déchets dangereux,NA,matières dangereuses,NA,NA,déchet* dangereux,matière* dangereuse*,NA,CTA,
514,environment,smog,brouillard de pollution,smog,NA,NA,NA,NA,NA,NA,CTA,
515,environment,air quality,qualité de l’air,NA,NA,NA,NA,NA,NA,NA,CTA,
516,environment,asbestos,amiante,NA,NA,NA,NA,NA,NA,NA,CTA,
517,energy,algae fuel,carburant d'algues,algocarburant,NA,NA,NA,algocarburant*,NA,algae fuel*,CTA,
518,energy,alternative fuel,carburant alternatif,NA,NA,NA,NA,carburant* alternatif*,NA,alternative fuel*,CTA,
519,energy,alternative power,puissance alternative,énergie alternative,NA,NA,NA,énergie* alternative*,NA,NA,CTA,"alimentation alternative, puissance alternative"
520,energy,atomic power,Puissance atomique,puissance atomique,NA,NA,NA,NA,NA,NA,CTA,
521,energy,bagasse,bagasse,NA,NA,NA,NA,bagasse*,NA,bagasse*,CTA,
522,energy,biodiesel,biodiesel,NA,NA,NA,NA,biodiesel*,NA,biodiesel*,CTA,
523,energy,biofuel,biocarburant,NA,NA,NA,NA,biocarburant*,NA,biofuel*,CTA,
524,energy,biogas,biogaz,NA,NA,NA,NA,NA,NA,NA,CTA,
525,energy,biomass fuel,biocarburant,NA,carburant de biomasse,NA,NA,biocarburant*,carburant* de biomasse,biomass fuel*,CTA,"combustible de biomasse, biocombustible"
526,energy,candu,candu,NA,NA,NA,NA,NA,NA,NA,CTA,
527,energy,carpool,faire du covoiturage,covoiturage,NA,NA,NA,NA,NA,carpool*,CTA,
528,energy,coal,charbon,NA,NA,NA,NA,NA,NA,NA,CTA,
529,energy,crude oil,huile brute,pétrole brut,NA,NA,NA,NA,NA,NA,CTA,
530,energy,diesel,diesel,NA,NA,NA,NA,diesel*,NA,diesel*,CTA,
531,energy,electric,électrique,NA,NA,NA,NA,électri*,NA,electric*,CTA,
532,energy,energy,énergie,NA,NA,NA,NA,énerg*,NA,energ*,CTA,
533,energy,ethanol fuel,carburant à l'éthanol,NA,NA,NA,NA,carburant* à l'éthanol,NA,ethanol fuel*,CTA,
534,energy,fracking,fractionnement,fracturation,NA,NA,NA,NA,NA,NA,CTA,
535,energy,fuel,carburant,combustible,NA,NA,NA,carburant*,NA,fuel*,CTA,
536,energy,gas price,prix du gaz,NA,NA,NA,NA,NA,NA,gas price*,CTA,prix de l'essence
537,energy,gasoline,de l'essence,essence,NA,NA,NA,NA,NA,NA,CTA,"carburant, gazole"
538,energy,geothermal,géothermique,NA,NA,NA,NA,NA,NA,NA,CTA,
